book_id,book_title,book_genre,author_id,author_name,author_web_site,published_date
1,Advanced Analytics 1,History,36,Morgan Johnson,https://authors.example.com/morgan-johnson-36,2020-07-27
2,Guide to Retail 2,Business,3,Taylor Lee,https://authors.example.com/taylor-lee-3,2018-09-29
3,Advanced SQL 3,Mystery,14,Morgan Smith,https://authors.example.com/morgan-smith-14,2023-08-07
4,Learning Retail 4,Data Science,26,Morgan Clark,https://authors.example.com/morgan-clark-26,2019-07-26
5,Inside Retail 5,Children,16,Jamie Garcia,https://authors.example.com/jamie-garcia-16,2024-07-22
6,Guide to Storytelling 6,Mystery,28,Taylor Johnson,https://authors.example.com/taylor-johnson-28,2020-06-17
7,Foundations of Data Warehousing 7,Children,9,Casey Clark,https://authors.example.com/casey-clark-9,2018-07-12
8,Learning Cloud Systems 8,Fantasy,8,Taylor Brown,https://authors.example.com/taylor-brown-8,2024-09-08
9,Guide to Business Intelligence 9,Technology,5,Sam Clark,https://authors.example.com/sam-clark-5,2023-04-02
10,Inside Analytics 10,Biography,34,Jordan Miller,https://authors.example.com/jordan-miller-34,2019-04-15
11,Advanced Data Warehousing 11,Biography,35,Jamie Brown,https://authors.example.com/jamie-brown-35,2021-04-17
12,Foundations of Analytics 12,Fantasy,28,Taylor Johnson,https://authors.example.com/taylor-johnson-28,2020-12-14
13,Inside Data Warehousing 13,Fantasy,33,Riley Miller,https://authors.example.com/riley-miller-33,2021-05-07
14,Practical Python 14,Mystery,33,Riley Miller,https://authors.example.com/riley-miller-33,2022-03-12
15,Inside Analytics 15,Children,11,Taylor Moore,https://authors.example.com/taylor-moore-11,2024-09-19
16,The Data Warehousing 16,Data Science,21,Jamie Clark,https://authors.example.com/jamie-clark-21,2022-01-26
17,The SQL 17,History,20,Sam Miller,https://authors.example.com/sam-miller-20,2024-05-12
18,Foundations of Data Warehousing 18,Science Fiction,6,Chris Smith,https://authors.example.com/chris-smith-6,2023-12-22
19,Foundations of Machine Learning 19,Fantasy,9,Casey Clark,https://authors.example.com/casey-clark-9,2019-11-08
20,Exploring Cloud Systems 20,Children,17,Jordan Brown,https://authors.example.com/jordan-brown-17,2020-05-17
21,Modern Cloud Systems 21,History,35,Jamie Brown,https://authors.example.com/jamie-brown-35,2022-03-10
22,Foundations of Data Warehousing 22,Children,29,Alex Brown,https://authors.example.com/alex-brown-29,2020-10-12
23,Advanced Analytics 23,Science Fiction,15,Jordan Davis,https://authors.example.com/jordan-davis-15,2024-08-06
24,Exploring SQL 24,History,36,Morgan Johnson,https://authors.example.com/morgan-johnson-36,2018-01-30
